relationship,country,metric_name,metric_value
1 · Okun's Law — ΔUnemployment vs GDP growth,US,n_obs,312.0
1 · Okun's Law — ΔUnemployment vs GDP growth,US,contemporaneous_r,-0.7288
1 · Okun's Law — ΔUnemployment vs GDP growth,US,auto_peak_r,-0.7288
1 · Okun's Law — ΔUnemployment vs GDP growth,US,auto_peak_lag,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,US,theory_peak_r,-0.7288
1 · Okun's Law — ΔUnemployment vs GDP growth,US,theory_peak_lag,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,US,sig_band_95,0.111
1 · Okun's Law — ΔUnemployment vs GDP growth,US,raw_partial_corr,
1 · Okun's Law — ΔUnemployment vs GDP growth,US,partial_corr,
1 · Okun's Law — ΔUnemployment vs GDP growth,US,sign_flip,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,US,n_breaks,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,n_obs,240.0
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,contemporaneous_r,-0.8149
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,auto_peak_r,-0.8149
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,auto_peak_lag,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,theory_peak_r,-0.8149
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,theory_peak_lag,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,sig_band_95,0.1265
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,raw_partial_corr,
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,partial_corr,
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,sign_flip,0.0
1 · Okun's Law — ΔUnemployment vs GDP growth,Canada,n_breaks,0.0
2 · Phillips Curve — Unemployment vs CPI inflation,US,n_obs,302.0
2 · Phillips Curve — Unemployment vs CPI inflation,US,contemporaneous_r,0.0801
2 · Phillips Curve — Unemployment vs CPI inflation,US,auto_peak_r,0.4494
2 · Phillips Curve — Unemployment vs CPI inflation,US,auto_peak_lag,-12.0
2 · Phillips Curve — Unemployment vs CPI inflation,US,theory_peak_r,
2 · Phillips Curve — Unemployment vs CPI inflation,US,theory_peak_lag,
2 · Phillips Curve — Unemployment vs CPI inflation,US,sig_band_95,0.1128
2 · Phillips Curve — Unemployment vs CPI inflation,US,raw_partial_corr,-0.3819
2 · Phillips Curve — Unemployment vs CPI inflation,US,partial_corr,-0.3911
2 · Phillips Curve — Unemployment vs CPI inflation,US,sign_flip,1.0
2 · Phillips Curve — Unemployment vs CPI inflation,US,n_breaks,2.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,n_obs,242.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,contemporaneous_r,-0.0591
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,auto_peak_r,0.4354
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,auto_peak_lag,-12.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,theory_peak_r,-0.1728
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,theory_peak_lag,12.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,sig_band_95,0.126
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,raw_partial_corr,-0.0591
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,partial_corr,0.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,sign_flip,1.0
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,n_breaks,3.0
3 · Output gap vs CPI inflation,US,n_obs,301.0
3 · Output gap vs CPI inflation,US,contemporaneous_r,0.2179
3 · Output gap vs CPI inflation,US,auto_peak_r,0.2179
3 · Output gap vs CPI inflation,US,auto_peak_lag,0.0
3 · Output gap vs CPI inflation,US,theory_peak_r,0.2179
3 · Output gap vs CPI inflation,US,theory_peak_lag,0.0
3 · Output gap vs CPI inflation,US,sig_band_95,0.113
3 · Output gap vs CPI inflation,US,raw_partial_corr,
3 · Output gap vs CPI inflation,US,partial_corr,
3 · Output gap vs CPI inflation,US,sign_flip,0.0
3 · Output gap vs CPI inflation,US,n_breaks,0.0
3 · Output gap vs CPI inflation,Canada,n_obs,180.0
3 · Output gap vs CPI inflation,Canada,contemporaneous_r,0.2177
3 · Output gap vs CPI inflation,Canada,auto_peak_r,0.2826
3 · Output gap vs CPI inflation,Canada,auto_peak_lag,-1.0
3 · Output gap vs CPI inflation,Canada,theory_peak_r,0.2177
3 · Output gap vs CPI inflation,Canada,theory_peak_lag,0.0
3 · Output gap vs CPI inflation,Canada,sig_band_95,0.1461
3 · Output gap vs CPI inflation,Canada,raw_partial_corr,
3 · Output gap vs CPI inflation,Canada,partial_corr,
3 · Output gap vs CPI inflation,Canada,sign_flip,0.0
3 · Output gap vs CPI inflation,Canada,n_breaks,0.0
4 · CPI inflation vs short-term policy rate,US,n_obs,104.0
4 · CPI inflation vs short-term policy rate,US,contemporaneous_r,0.2912
4 · CPI inflation vs short-term policy rate,US,auto_peak_r,0.6199
4 · CPI inflation vs short-term policy rate,US,auto_peak_lag,6.0
4 · CPI inflation vs short-term policy rate,US,theory_peak_r,0.6199
4 · CPI inflation vs short-term policy rate,US,theory_peak_lag,6.0
4 · CPI inflation vs short-term policy rate,US,sig_band_95,0.1922
4 · CPI inflation vs short-term policy rate,US,raw_partial_corr,0.2912
4 · CPI inflation vs short-term policy rate,US,partial_corr,0.2894
4 · CPI inflation vs short-term policy rate,US,sign_flip,1.0
4 · CPI inflation vs short-term policy rate,US,n_breaks,1.0
4 · CPI inflation vs short-term policy rate,Canada,n_obs,146.0
4 · CPI inflation vs short-term policy rate,Canada,contemporaneous_r,0.3564
4 · CPI inflation vs short-term policy rate,Canada,auto_peak_r,0.3832
4 · CPI inflation vs short-term policy rate,Canada,auto_peak_lag,2.0
4 · CPI inflation vs short-term policy rate,Canada,theory_peak_r,0.3832
4 · CPI inflation vs short-term policy rate,Canada,theory_peak_lag,2.0
4 · CPI inflation vs short-term policy rate,Canada,sig_band_95,0.1622
4 · CPI inflation vs short-term policy rate,Canada,raw_partial_corr,0.3564
4 · CPI inflation vs short-term policy rate,Canada,partial_corr,0.3787
4 · CPI inflation vs short-term policy rate,Canada,sign_flip,0.0
4 · CPI inflation vs short-term policy rate,Canada,n_breaks,1.0
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,n_obs,200.0
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,contemporaneous_r,-0.0179
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,auto_peak_r,-0.2364
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,auto_peak_lag,-6.0
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,theory_peak_r,0.0983
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,theory_peak_lag,2.0
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,sig_band_95,0.1386
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,raw_partial_corr,
